what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371533526652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533528657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533530131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533530163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533531563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533531593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533535585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533535620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533537937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533537971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533546497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533546523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533547135
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371533552314
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371533553858
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371533554490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533556889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533562828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533565648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533580690
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1371533583929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533585389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533589850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1371533589861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1371533589861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533590175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533624835
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371533638282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533666676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533666803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371533672687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371533682078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533687626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371533688773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533717038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533717250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533717437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533717609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533717811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533718045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533718201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533718467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533718669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533718841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533718997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1371533719559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371533723115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371533728220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371533731387
